	h1	h2	keep
Hcv1.1.c13.g216.i1	424	424	h1
Hcv1.1.c13.g169.i1	526	526	h1
Hcv1.1.c7.g247.i1	430	430	h1
Hcv1.1.c11.g290.i1	848	849	h2
Hcv1.1.c10.g468.i2	686	686	h1
Hcv1.1.c2.g1334.i2	499	499	h1
Hcv1.1.c13.g99.i2	157	157	h1
Hcv1.1.c7.g41.i1	503	503	h1
Hcv1.1.c1.g356.i1	469	469	h1
Hcv1.1.c2.g614.i3	263	263	h1
Hcv1.1.c7.g273.i1	539	539	h1
Hcv1.1.c8.g43.i3	169	169	h1
Hcv1.1.c3.g787.i1	411	411	h1
Hcv1.1.c7.g390.i2	62	-1	h1
Hcv1.1.c6.g389.i1	136	136	h1
Hcv1.1.c1.g1317.i1	239	239	h1
Hcv1.1.c2.g211.i1	783	783	h1
Hcv1.1.c3.g478.i1	-1	-1	NO
Hcv1.1.c1.g316.i2	294	286	h1
Hcv1.1.c2.g761.i2	436	436	h1
Hcv1.1.c5.g804.i2	470	470	h1
Hcv1.1.c11.g232.i2	162	162	h1
Hcv1.1.c11.g793.i1	448	448	h1
Hcv1.1.c1.g801.i2	1948	2080	h2
Hcv1.1.c1.g1161.i1	198	198	h1
Hcv1.1.c9.g23.i2	589	589	h1
Hcv1.1.c7.g608.i1	430	429	h1
Hcv1.1.c11.g99.i1	527	527	h1
Hcv1.1.c9.g585.i1	1007	1007	h1
Hcv1.1.c3.g976.i1	423	423	h1
Hcv1.1.c4.g332.i1	548	548	h1
Hcv1.1.c4.g652.i1	608	608	h1
Hcv1.1.c8.g563.i1	227	227	h1
Hcv1.1.c10.g80.i1	259	358	h2
Hcv1.1.c10.g347.i1	255	255	h1
Hcv1.1.c6.g978.i2	1376	1338	h1
Hcv1.1.c9.g105.i2	869	869	h1
Hcv1.1.c8.g120.i2	368	368	h1
Hcv1.1.c9.g524.i3	451	451	h1
Hcv1.1.c6.g530.i1	1174	1174	h1
Hcv1.1.c8.g758.i1	1355	1361	h2
Hcv1.1.c8.g723.i1	165	354	h2
Hcv1.1.c3.g1135.i1	404	500	h2
Hcv1.1.c13.g1.i1	70	70	h1
Hcv1.1.c1.g1444.i1	498	511	h2
Hcv1.1.c10.g299.i1	78	78	h1
Hcv1.1.c2.g487.i1	578	578	h1
Hcv1.1.c1.g34.i1	1300	1300	h1
Hcv1.1.c2.g876.i1	2737	2737	h1
Hcv1.1.c2.g1291.i1	163	163	h1
Hcv1.1.c3.g306.i1	437	437	h1
Hcv1.1.c13.g64.i1	356	356	h1
Hcv1.1.c5.g1108.i3	1439	1439	h1
Hcv1.1.c7.g48.i1	524	524	h1
Hcv1.1.c4.g542.i1	661	661	h1
Hcv1.1.c1.g1331.i2	291	291	h1
Hcv1.1.c4.g491.i1	417	418	h2
Hcv1.1.c11.g626.i1	154	318	h2
Hcv1.1.c4.g385.i1	-1	56	h2
Hcv1.1.c8.g358.i2	314	314	h1
Hcv1.1.c12.g49.i3	866	866	h1
Hcv1.1.c5.g815.i1	549	549	h1
Hcv1.1.c5.g476.i2	491	491	h1
Hcv1.1.c1.g336.i4	348	348	h1
Hcv1.1.c4.g438.i1	550	550	h1
Hcv1.1.c3.g735.i1	248	248	h1
Hcv1.1.c2.g999.i2	359	359	h1
Hcv1.1.c5.g27.i8	396	396	h1
Hcv1.1.c7.g657.i1	683	683	h1
Hcv1.1.c9.g91.i1	513	513	h1
Hcv1.1.c2.g764.i1	292	292	h1
Hcv1.1.c5.g133.i1	273	273	h1
Hcv1.1.c10.g213.i4	437	437	h1
Hcv1.1.c2.g123.i1	1180	1196	h2
Hcv1.1.c5.g1033.i1	793	793	h1
Hcv1.1.c6.g68.i1	379	379	h1
Hcv1.1.c10.g224.i1	133	133	h1
Hcv1.1.c2.g153.i1	135	112	h1
Hcv1.1.c10.g356.i1	715	714	h1
Hcv1.1.c9.g85.i1	1043	1043	h1
Hcv1.1.c11.g593.i1	699	699	h1
Hcv1.1.c9.g773.i29	387	387	h1
Hcv1.1.c9.g118.i1	501	501	h1
Hcv1.1.c9.g615.i1	304	304	h1
Hcv1.1.c1.g1340.i2	693	466	h1
Hcv1.1.c5.g900.i1	214	214	h1
Hcv1.1.c1.g894.i1	238	238	h1
Hcv1.1.c7.g827.i2	273	273	h1
Hcv1.1.c1.g841.i1	674	762	h2
Hcv1.1.c5.g700.i1	966	966	h1
Hcv1.1.c6.g119.i3	-1	-1	NO
Hcv1.1.c8.g429.i1	442	442	h1
Hcv1.1.c2.g579.i1	1981	1982	h2
Hcv1.1.c4.g704.i1	564	581	h2
Hcv1.1.c5.g1018.i1	586	586	h1
Hcv1.1.c7.g407.i1	780	761	h1
Hcv1.1.c6.g513.i2	1313	1313	h1
Hcv1.1.c3.g81.i1	608	608	h1
Hcv1.1.c8.g10.i2	281	281	h1
Hcv1.1.c10.g54.i2	787	787	h1
Hcv1.1.c11.g409.i1	79	54	h1
Hcv1.1.c2.g463.i1	1035	1035	h1
Hcv1.1.c11.g133.i1	199	199	h1
Hcv1.1.c5.g204.i1	938	827	h1
Hcv1.1.c9.g754.i3	401	401	h1
Hcv1.1.c5.g794.i3	134	134	h1
Hcv1.1.c12.g39.i1	2776	2776	h1
Hcv1.1.c4.g501.i2	609	609	h1
Hcv1.1.c8.g509.i1	472	469	h1
Hcv1.1.c9.g529.i1	466	466	h1
Hcv1.1.c4.g638.i2	293	293	h1
Hcv1.1.c1.g368.i3	142	128	h1
Hcv1.1.c8.g297.i1	332	332	h1
Hcv1.1.c11.g653.i1	641	390	h1
Hcv1.1.c5.g116.i1	285	285	h1
Hcv1.1.c10.g362.i1	406	406	h1
Hcv1.1.c1.g316.i1	1081	1081	h1
Hcv1.1.c2.g285.i1	176	162	h1
Hcv1.1.c3.g1071.i1	157	157	h1
Hcv1.1.c1.g1258.i1	-1	-1	NO
Hcv1.1.c7.g737.i3	720	716	h1
Hcv1.1.c3.g246.i1	946	947	h2
Hcv1.1.c7.g595.i1	918	918	h1
Hcv1.1.c9.g570.i1	1160	1160	h1
Hcv1.1.c6.g1113.i4	424	424	h1
Hcv1.1.c1.g267.i1	147	147	h1
Hcv1.1.c6.g155.i1	534	534	h1
Hcv1.1.c1.g409.i6	679	679	h1
Hcv1.1.c1.g216.i2	404	404	h1
Hcv1.1.c5.g393.i1	382	382	h1
Hcv1.1.c5.g733.i2	864	853	h1
Hcv1.1.c3.g114.i1	254	254	h1
Hcv1.1.c2.g182.i2	494	494	h1
Hcv1.1.c5.g513.i1	71	60	h1
Hcv1.1.c2.g1329.i2	487	487	h1
Hcv1.1.c4.g554.i1	606	606	h1
Hcv1.1.c9.g35.i1	599	601	h2
Hcv1.1.c4.g592.i1	532	532	h1
Hcv1.1.c6.g802.i1	1781	1781	h1
Hcv1.1.c3.g1000.i1	681	681	h1
Hcv1.1.c6.g16.i1	195	195	h1
Hcv1.1.c5.g633.i4	235	186	h1
Hcv1.1.c4.g246.i3	727	951	h2
Hcv1.1.c5.g366.i2	722	725	h2
Hcv1.1.c6.g247.i1	222	222	h1
Hcv1.1.c2.g529.i1	486	570	h2
Hcv1.1.c6.g729.i1	-1	-1	NO
Hcv1.1.c3.g683.i1	148	161	h2
Hcv1.1.c1.g1431.i1	340	340	h1
Hcv1.1.c2.g1278.i1	778	778	h1
Hcv1.1.c9.g258.i4	1232	1232	h1
Hcv1.1.c8.g68.i4	260	260	h1
Hcv1.1.c2.g929.i4	862	862	h1
Hcv1.1.c2.g729.i2	347	347	h1
Hcv1.1.c1.g79.i4	428	553	h2
Hcv1.1.c2.g145.i1	275	275	h1
Hcv1.1.c2.g1088.i2	237	237	h1
Hcv1.1.c9.g163.i1	888	888	h1
Hcv1.1.c9.g612.i4	226	226	h1
Hcv1.1.c7.g376.i1	643	618	h1
Hcv1.1.c9.g594.i1	563	563	h1
Hcv1.1.c7.g580.i1	-1	-1	NO
Hcv1.1.c5.g136.i2	188	188	h1
Hcv1.1.c8.g110.i1	216	216	h1
Hcv1.1.c11.g770.i1	543	543	h1
Hcv1.1.c12.g428.i1	65	199	h2
Hcv1.1.c13.g316.i1	67	76	h2
Hcv1.1.c1.g538.i1	89	89	h1
Hcv1.1.c7.g744.i2	860	860	h1
Hcv1.1.c13.g236.i1	197	197	h1
Hcv1.1.c3.g1134.i1	233	233	h1
Hcv1.1.c5.g322.i1	271	288	h2
Hcv1.1.c1.g1485.i1	595	595	h1
Hcv1.1.c7.g183.i1	447	447	h1
Hcv1.1.c6.g47.i2	303	303	h1
Hcv1.1.c8.g489.i1	331	331	h1
Hcv1.1.c10.g476.i1	400	400	h1
Hcv1.1.c5.g964.i1	856	856	h1
Hcv1.1.c6.g876.i2	221	221	h1
Hcv1.1.c1.g455.i1	465	463	h1
Hcv1.1.c9.g205.i1	501	436	h1
Hcv1.1.c6.g1115.i2	196	196	h1
Hcv1.1.c6.g295.i1	1262	1266	h2
Hcv1.1.c5.g67.i1	110	110	h1
Hcv1.1.c8.g73.i1	345	345	h1
Hcv1.1.c6.g446.i1	452	448	h1
Hcv1.1.c8.g33.i1	502	502	h1
Hcv1.1.c13.g166.i2	717	717	h1
Hcv1.1.c13.g212.i1	265	265	h1
Hcv1.1.c4.g313.i1	-1	51	h2
Hcv1.1.c2.g469.i1	64	64	h1
Hcv1.1.c6.g430.i3	251	251	h1
Hcv1.1.c2.g1167.i1	1073	1073	h1
Hcv1.1.c1.g913.i1	67	-1	h1
Hcv1.1.c1.g751.i4	366	366	h1
Hcv1.1.c7.g343.i9	418	418	h1
Hcv1.1.c8.g646.i2	888	888	h1
Hcv1.1.c10.g8.i1	58	58	h1
Hcv1.1.c1.g514.i1	714	714	h1
Hcv1.1.c3.g85.i1	702	693	h1
Hcv1.1.c11.g273.i1	777	777	h1
Hcv1.1.c4.g536.i1	247	246	h1
Hcv1.1.c1.g1300.i1	1193	1193	h1
Hcv1.1.c2.g900.i1	1387	1387	h1
Hcv1.1.c4.g241.i1	474	474	h1
Hcv1.1.c6.g1085.i3	-1	-1	NO
Hcv1.1.c6.g934.i1	303	192	h1
Hcv1.1.c3.g57.i1	308	308	h1
Hcv1.1.c13.g371.i31	343	343	h1
Hcv1.1.c8.g418.i1	236	236	h1
Hcv1.1.c7.g790.i1	320	320	h1
Hcv1.1.c5.g938.i1	725	725	h1
Hcv1.1.c7.g833.i1	272	273	h2
Hcv1.1.c1.g810.i1	81	81	h1
Hcv1.1.c9.g399.i1	441	444	h2
Hcv1.1.c9.g313.i1	176	176	h1
Hcv1.1.c12.g392.i1	389	389	h1
Hcv1.1.c1.g232.i2	951	951	h1
Hcv1.1.c2.g613.i1	-1	-1	NO
Hcv1.1.c5.g712.i1	362	362	h1
Hcv1.1.c2.g907.i1	517	517	h1
Hcv1.1.c8.g486.i1	448	447	h1
Hcv1.1.c10.g231.i1	592	593	h2
Hcv1.1.c1.g571.i2	1789	1789	h1
Hcv1.1.c11.g70.i1	1647	1646	h1
Hcv1.1.c11.g560.i2	89	154	h2
Hcv1.1.c12.g326.i1	80	80	h1
Hcv1.1.c11.g695.i1	137	137	h1
Hcv1.1.c1.g602.i1	1380	1380	h1
Hcv1.1.c3.g860.i1	1398	1398	h1
Hcv1.1.c3.g796.i1	495	497	h2
Hcv1.1.c13.g84.i1	294	486	h2
Hcv1.1.c1.g1269.i1	74	74	h1
Hcv1.1.c8.g115.i1	84	84	h1
Hcv1.1.c2.g838.i1	81	81	h1
Hcv1.1.c2.g904.i1	798	798	h1
Hcv1.1.c13.g272.i3	413	413	h1
Hcv1.1.c4.g694.i1	389	391	h2
Hcv1.1.c4.g347.i1	271	271	h1
Hcv1.1.c2.g1155.i1	-1	-1	NO
Hcv1.1.c3.g1016.i2	506	506	h1
Hcv1.1.c13.g392.i1	518	518	h1
Hcv1.1.c13.g504.i3	466	466	h1
Hcv1.1.c13.g292.i3	392	392	h1
Hcv1.1.c2.g413.i2	1005	1000	h1
Hcv1.1.c9.g5.i1	132	132	h1
Hcv1.1.c2.g998.i1	336	336	h1
Hcv1.1.c9.g263.i1	250	250	h1
Hcv1.1.c10.g205.i1	89	89	h1
Hcv1.1.c12.g50.i1	2262	2249	h1
Hcv1.1.c3.g154.i1	331	331	h1
Hcv1.1.c4.g647.i1	584	584	h1
Hcv1.1.c3.g1133.i1	298	298	h1
Hcv1.1.c13.g469.i4	1834	1834	h1
Hcv1.1.c4.g25.i4	222	222	h1
Hcv1.1.c2.g1281.i1	598	598	h1
Hcv1.1.c9.g701.i2	291	291	h1
Hcv1.1.c2.g1000.i2	445	445	h1
Hcv1.1.c9.g788.i3	1850	1033	h1
Hcv1.1.c11.g216.i1	548	548	h1
Hcv1.1.c4.g695.i1	156	156	h1
Hcv1.1.c10.g555.i2	1222	1216	h1
Hcv1.1.c1.g409.i13	739	739	h1
Hcv1.1.c3.g136.i1	457	458	h2
Hcv1.1.c6.g1100.i1	544	544	h1
Hcv1.1.c4.g367.i1	83	72	h1
Hcv1.1.c1.g314.i1	722	722	h1
Hcv1.1.c3.g1030.i1	486	486	h1
Hcv1.1.c4.g196.i1	901	908	h2
Hcv1.1.c8.g193.i1	349	516	h2
Hcv1.1.c8.g430.i1	-1	-1	NO
Hcv1.1.c6.g879.i1	743	743	h1
Hcv1.1.c2.g1166.i2	404	403	h1
Hcv1.1.c4.g420.i3	405	405	h1
Hcv1.1.c8.g623.i2	1403	1403	h1
Hcv1.1.c8.g686.i1	315	315	h1
Hcv1.1.c5.g477.i1	426	426	h1
Hcv1.1.c1.g1206.i1	99	99	h1
Hcv1.1.c3.g1120.i1	393	393	h1
Hcv1.1.c3.g1097.i1	239	239	h1
Hcv1.1.c4.g144.i1	119	119	h1
Hcv1.1.c8.g129.i1	2540	2540	h1
Hcv1.1.c1.g683.i1	111	111	h1
Hcv1.1.c7.g797.i2	273	273	h1
Hcv1.1.c7.g368.i1	234	234	h1
Hcv1.1.c10.g574.i4	117	117	h1
Hcv1.1.c9.g489.i1	553	553	h1
Hcv1.1.c4.g243.i1	247	191	h1
Hcv1.1.c4.g582.i1	769	769	h1
Hcv1.1.c6.g361.i2	408	408	h1
Hcv1.1.c13.g44.i1	63	63	h1
Hcv1.1.c8.g409.i1	100	100	h1
Hcv1.1.c10.g293.i1	708	757	h2
Hcv1.1.c4.g608.i1	402	402	h1
Hcv1.1.c7.g293.i1	473	474	h2
Hcv1.1.c13.g237.i4	627	566	h1
Hcv1.1.c8.g157.i1	332	332	h1
Hcv1.1.c2.g259.i1	94	94	h1
Hcv1.1.c6.g102.i1	370	370	h1
Hcv1.1.c1.g1383.i1	690	690	h1
Hcv1.1.c8.g273.i1	779	779	h1
Hcv1.1.c3.g262.i1	282	282	h1
Hcv1.1.c8.g719.i1	514	515	h2
Hcv1.1.c1.g14.i1	470	469	h1
Hcv1.1.c2.g238.i9	632	634	h2
Hcv1.1.c3.g972.i1	328	328	h1
Hcv1.1.c3.g547.i2	223	128	h1
Hcv1.1.c11.g665.i1	165	165	h1
Hcv1.1.c1.g983.i1	461	461	h1
Hcv1.1.c5.g351.i2	874	881	h2
Hcv1.1.c1.g350.i1	565	565	h1
Hcv1.1.c6.g505.i1	-1	-1	NO
Hcv1.1.c11.g308.i1	682	674	h1
Hcv1.1.c6.g416.i1	477	477	h1
Hcv1.1.c1.g297.i1	1008	1008	h1
Hcv1.1.c1.g1138.i1	1247	1188	h1
Hcv1.1.c4.g183.i2	1645	1641	h1
Hcv1.1.c10.g457.i1	-1	69	h2
Hcv1.1.c6.g1093.i1	959	959	h1
Hcv1.1.c6.g1039.i1	198	198	h1
Hcv1.1.c9.g744.i1	833	833	h1
Hcv1.1.c10.g443.i1	533	497	h1
Hcv1.1.c10.g13.i1	455	455	h1
Hcv1.1.c1.g412.i1	378	378	h1
Hcv1.1.c4.g675.i1	966	967	h2
Hcv1.1.c11.g683.i1	410	410	h1
Hcv1.1.c1.g618.i2	292	292	h1
Hcv1.1.c5.g979.i1	619	619	h1
Hcv1.1.c6.g819.i2	126	126	h1
Hcv1.1.c5.g409.i1	432	431	h1
Hcv1.1.c7.g846.i2	193	193	h1
Hcv1.1.c10.g35.i3	476	476	h1
Hcv1.1.c2.g864.i1	350	367	h2
Hcv1.1.c8.g488.i1	312	312	h1
Hcv1.1.c3.g693.i1	502	502	h1
Hcv1.1.c8.g149.i1	396	395	h1
Hcv1.1.c8.g229.i1	326	326	h1
Hcv1.1.c1.g1036.i3	500	502	h2
Hcv1.1.c2.g1285.i1	369	369	h1
Hcv1.1.c3.g128.i1	831	837	h2
Hcv1.1.c3.g961.i1	981	1159	h2
Hcv1.1.c7.g661.i1	242	242	h1
Hcv1.1.c1.g1097.i1	-1	-1	NO
Hcv1.1.c10.g52.i1	1061	1760	h2
Hcv1.1.c5.g9.i1	297	297	h1
Hcv1.1.c2.g210.i1	403	403	h1
Hcv1.1.c3.g1110.i1	165	182	h2
Hcv1.1.c8.g391.i1	435	435	h1
Hcv1.1.c2.g778.i2	706	641	h1
Hcv1.1.c2.g1050.i1	1049	1049	h1
Hcv1.1.c1.g1266.i2	828	828	h1
Hcv1.1.c3.g770.i1	144	144	h1
Hcv1.1.c13.g208.i1	112	83	h1
Hcv1.1.c3.g921.i1	516	516	h1
Hcv1.1.c7.g245.i3	354	354	h1
Hcv1.1.c7.g723.i1	1535	1496	h1
Hcv1.1.c6.g262.i2	630	630	h1
Hcv1.1.c4.g9.i1	910	910	h1
Hcv1.1.c11.g389.i1	469	469	h1
Hcv1.1.c12.g95.i3	890	890	h1
Hcv1.1.c3.g675.i2	158	146	h1
Hcv1.1.c7.g806.i4	982	982	h1
Hcv1.1.c8.g623.i6	1311	1305	h1
Hcv1.1.c1.g135.i1	1597	1607	h2
Hcv1.1.c1.g1481.i1	175	175	h1
Hcv1.1.c6.g322.i4	351	178	h1
Hcv1.1.c6.g134.i2	-1	-1	NO
Hcv1.1.c1.g169.i1	468	468	h1
Hcv1.1.c6.g628.i1	882	882	h1
Hcv1.1.c9.g720.i2	483	483	h1
Hcv1.1.c8.g89.i1	314	296	h1
Hcv1.1.c2.g541.i1	947	947	h1
Hcv1.1.c5.g134.i2	857	857	h1
Hcv1.1.c6.g48.i1	981	971	h1
Hcv1.1.c12.g259.i2	551	551	h1
Hcv1.1.c1.g409.i4	739	739	h1
Hcv1.1.c3.g553.i1	561	561	h1
Hcv1.1.c7.g772.i2	604	604	h1
Hcv1.1.c2.g1338.i1	357	357	h1
Hcv1.1.c9.g78.i4	479	704	h2
Hcv1.1.c2.g108.i1	364	364	h1
Hcv1.1.c1.g1062.i2	1308	1308	h1
Hcv1.1.c8.g492.i2	361	361	h1
Hcv1.1.c3.g1113.i1	716	716	h1
Hcv1.1.c5.g843.i1	686	686	h1
Hcv1.1.c2.g1105.i2	470	470	h1
Hcv1.1.c3.g178.i1	-1	-1	NO
Hcv1.1.c8.g49.i1	213	213	h1
Hcv1.1.c1.g415.i2	334	334	h1
Hcv1.1.c6.g788.i5	719	719	h1
Hcv1.1.c1.g657.i2	924	956	h2
Hcv1.1.c8.g606.i1	511	521	h2
Hcv1.1.c3.g493.i2	206	314	h2
Hcv1.1.c4.g151.i1	1214	1214	h1
Hcv1.1.c3.g884.i1	351	351	h1
Hcv1.1.c2.g33.i1	716	716	h1
Hcv1.1.c7.g806.i2	719	719	h1
Hcv1.1.c4.g73.i1	111	111	h1
Hcv1.1.c10.g547.i1	226	226	h1
Hcv1.1.c5.g773.i1	925	925	h1
Hcv1.1.c6.g830.i1	297	316	h2
Hcv1.1.c2.g1039.i1	409	409	h1
Hcv1.1.c5.g489.i4	1539	1539	h1
Hcv1.1.c5.g142.i1	723	723	h1
Hcv1.1.c7.g66.i1	325	325	h1
Hcv1.1.c6.g476.i1	136	136	h1
Hcv1.1.c5.g927.i1	525	525	h1
Hcv1.1.c8.g170.i2	578	578	h1
Hcv1.1.c3.g638.i1	228	232	h2
Hcv1.1.c10.g562.i1	1124	1124	h1
Hcv1.1.c3.g442.i1	116	116	h1
Hcv1.1.c3.g435.i1	184	184	h1
Hcv1.1.c7.g328.i1	707	707	h1
Hcv1.1.c1.g461.i1	124	124	h1
Hcv1.1.c1.g331.i1	80	142	h2
Hcv1.1.c1.g502.i1	53	53	h1
Hcv1.1.c5.g1006.i1	190	190	h1
Hcv1.1.c1.g131.i1	523	523	h1
Hcv1.1.c13.g412.i1	451	451	h1
Hcv1.1.c8.g677.i3	202	163	h1
Hcv1.1.c9.g369.i2	193	204	h2
Hcv1.1.c13.g229.i2	186	186	h1
Hcv1.1.c3.g718.i1	429	429	h1
Hcv1.1.c13.g51.i1	203	203	h1
Hcv1.1.c6.g470.i1	538	538	h1
Hcv1.1.c12.g207.i3	66	66	h1
Hcv1.1.c4.g368.i1	70	70	h1
Hcv1.1.c12.g93.i3	205	205	h1
Hcv1.1.c10.g17.i1	406	406	h1
Hcv1.1.c6.g302.i1	311	311	h1
Hcv1.1.c2.g1080.i1	1131	1131	h1
Hcv1.1.c6.g790.i1	1417	1389	h1
Hcv1.1.c9.g240.i1	-1	-1	NO
Hcv1.1.c3.g215.i1	381	316	h1
Hcv1.1.sca11.g1.i2	161	161	h1
Hcv1.1.c1.g797.i1	71	71	h1
Hcv1.1.c1.g450.i1	89	89	h1
Hcv1.1.c1.g452.i1	367	367	h1
Hcv1.1.c8.g38.i1	316	316	h1
Hcv1.1.c8.g727.i1	102	182	h2
Hcv1.1.c5.g1142.i1	422	422	h1
Hcv1.1.c2.g829.i1	502	522	h2
Hcv1.1.c1.g735.i2	204	204	h1
Hcv1.1.c2.g867.i4	83	83	h1
Hcv1.1.c3.g671.i1	821	821	h1
Hcv1.1.c13.g239.i1	966	975	h2
Hcv1.1.c5.g1043.i2	1425	1425	h1
Hcv1.1.c1.g220.i1	559	559	h1
Hcv1.1.c9.g604.i1	801	801	h1
Hcv1.1.c4.g716.i1	758	758	h1
Hcv1.1.c10.g244.i1	452	453	h2
Hcv1.1.c3.g320.i1	853	852	h1
Hcv1.1.c3.g1039.i5	1217	801	h1
Hcv1.1.c1.g1013.i1	992	934	h1
Hcv1.1.c3.g837.i1	228	228	h1
Hcv1.1.c12.g248.i2	261	446	h2
Hcv1.1.c10.g332.i2	282	282	h1
Hcv1.1.c6.g631.i2	179	179	h1
Hcv1.1.c3.g278.i1	481	481	h1
Hcv1.1.c11.g599.i2	185	185	h1
Hcv1.1.c1.g336.i16	490	490	h1
Hcv1.1.c4.g32.i1	187	187	h1
Hcv1.1.c5.g870.i2	287	287	h1
Hcv1.1.c11.g831.i1	322	322	h1
Hcv1.1.c11.g833.i1	991	989	h1
Hcv1.1.c3.g463.i1	345	339	h1
Hcv1.1.c13.g371.i6	116	116	h1
Hcv1.1.c11.g574.i1	203	203	h1
Hcv1.1.c5.g443.i1	539	539	h1
Hcv1.1.c3.g1150.i1	342	343	h2
Hcv1.1.c7.g677.i3	942	975	h2
Hcv1.1.c5.g573.i1	422	629	h2
Hcv1.1.c7.g769.i1	211	212	h2
Hcv1.1.c7.g823.i3	814	814	h1
Hcv1.1.c11.g728.i1	-1	-1	NO
Hcv1.1.c12.g440.i2	443	443	h1
Hcv1.1.c1.g1137.i1	1118	1118	h1
Hcv1.1.c1.g944.i1	318	318	h1
Hcv1.1.c3.g647.i1	314	170	h1
Hcv1.1.c12.g153.i1	290	290	h1
Hcv1.1.c1.g912.i2	167	167	h1
Hcv1.1.c6.g160.i1	88	88	h1
Hcv1.1.c3.g699.i1	160	160	h1
Hcv1.1.c6.g176.i1	857	857	h1
Hcv1.1.c12.g177.i1	339	339	h1
Hcv1.1.c7.g736.i2	235	165	h1
Hcv1.1.c2.g1014.i1	415	416	h2
Hcv1.1.c3.g415.i1	547	547	h1
Hcv1.1.c2.g550.i1	400	400	h1
Hcv1.1.c1.g1423.i1	754	738	h1
Hcv1.1.c11.g832.i1	845	851	h2
Hcv1.1.c11.g195.i2	714	714	h1
Hcv1.1.c1.g991.i1	579	580	h2
Hcv1.1.c11.g50.i1	210	210	h1
Hcv1.1.c1.g689.i2	681	681	h1
Hcv1.1.c6.g426.i1	204	204	h1
Hcv1.1.c3.g387.i2	336	247	h1
Hcv1.1.c5.g895.i1	467	467	h1
Hcv1.1.c6.g904.i1	164	164	h1
Hcv1.1.c2.g646.i1	273	273	h1
Hcv1.1.c5.g875.i2	344	344	h1
Hcv1.1.c8.g519.i1	273	273	h1
Hcv1.1.c9.g321.i3	884	884	h1
Hcv1.1.c3.g133.i1	473	473	h1
Hcv1.1.c4.g619.i1	329	329	h1
Hcv1.1.c10.g461.i2	214	214	h1
Hcv1.1.c11.g840.i1	408	408	h1
Hcv1.1.c3.g760.i1	651	651	h1
Hcv1.1.c13.g282.i1	520	504	h1
Hcv1.1.c6.g1.i1	201	201	h1
Hcv1.1.c9.g239.i2	211	211	h1
Hcv1.1.c7.g466.i1	501	501	h1
Hcv1.1.c9.g42.i1	379	379	h1
Hcv1.1.c13.g251.i1	84	84	h1
Hcv1.1.c9.g754.i1	291	291	h1
Hcv1.1.c10.g419.i6	933	927	h1
Hcv1.1.c11.g563.i2	2325	2324	h1
Hcv1.1.c4.g575.i1	1029	1029	h1
Hcv1.1.c5.g197.i3	350	350	h1
Hcv1.1.c6.g263.i1	240	240	h1
Hcv1.1.c3.g348.i1	573	573	h1
Hcv1.1.c1.g1334.i2	1866	1850	h1
Hcv1.1.c1.g942.i1	543	542	h1
Hcv1.1.c7.g394.i1	437	437	h1
Hcv1.1.c2.g700.i1	411	411	h1
Hcv1.1.c5.g633.i1	294	294	h1
Hcv1.1.c2.g97.i1	957	957	h1
Hcv1.1.c9.g68.i1	534	534	h1
Hcv1.1.c11.g396.i1	543	543	h1
Hcv1.1.c5.g283.i1	68	68	h1
Hcv1.1.c8.g504.i1	538	536	h1
Hcv1.1.c8.g200.i2	118	118	h1
Hcv1.1.c7.g174.i1	198	198	h1
Hcv1.1.c6.g177.i1	914	914	h1
Hcv1.1.c8.g500.i1	699	699	h1
Hcv1.1.c2.g786.i1	752	750	h1
Hcv1.1.c1.g179.i1	215	216	h2
Hcv1.1.c3.g103.i1	62	-1	h1
Hcv1.1.c3.g596.i1	361	361	h1
Hcv1.1.c2.g728.i1	627	627	h1
Hcv1.1.sca24.g1.i1	80	-1	h1
Hcv1.1.c2.g740.i1	381	381	h1
Hcv1.1.c10.g375.i2	584	584	h1
Hcv1.1.c3.g873.i5	303	303	h1
Hcv1.1.c3.g997.i3	139	139	h1
Hcv1.1.c11.g723.i1	178	178	h1
Hcv1.1.c1.g187.i1	587	608	h2
Hcv1.1.c5.g314.i1	-1	-1	NO
Hcv1.1.c2.g984.i1	973	1315	h2
Hcv1.1.c12.g319.i1	695	786	h2
Hcv1.1.c8.g135.i1	394	394	h1
Hcv1.1.c9.g776.i1	387	387	h1
Hcv1.1.c5.g817.i1	462	462	h1
Hcv1.1.c1.g1071.i2	434	434	h1
Hcv1.1.c2.g220.i1	500	500	h1
Hcv1.1.c6.g813.i1	1620	1620	h1
Hcv1.1.c3.g839.i1	395	395	h1
Hcv1.1.c7.g311.i1	579	576	h1
Hcv1.1.c10.g90.i1	144	144	h1
Hcv1.1.c11.g766.i2	793	793	h1
Hcv1.1.c7.g477.i5	803	803	h1
Hcv1.1.c8.g361.i1	162	162	h1
Hcv1.1.c3.g613.i1	343	342	h1
Hcv1.1.c6.g349.i1	418	418	h1
Hcv1.1.c7.g485.i1	451	451	h1
Hcv1.1.c11.g606.i1	688	688	h1
Hcv1.1.c12.g83.i1	996	985	h1
Hcv1.1.c1.g595.i1	148	116	h1
Hcv1.1.c5.g663.i1	896	943	h2
Hcv1.1.c2.g663.i2	373	373	h1
Hcv1.1.c1.g796.i1	1164	1164	h1
Hcv1.1.c6.g933.i2	412	412	h1
Hcv1.1.c5.g94.i1	476	476	h1
